CLAVE      | MENSAJE DECODIFICADO      | ESTADO
PSCD       | TAYTSRE                   | 
PSCR       | QRCPTNY                   | 
PSCU       | NCUTSOI                   | 
PSCI       | LLRTQLY                   | 
PSCT       | LLTSQTQ                   | 
PSCC       | QAMOIAN                   | 
PSCP       | QDQTPIP                   | 
PSCM       | LATRLLU                   | 
PSCY       | QDDEEEP                   | 
PSCQ       | QQYEQTL                   | 
PSPE       | ELTOOQT                   | 
PSPA       | YRESLIM                   | 
PSPO       | YEYNDLP                   | 
PSPL       | YPCEOOU                   | 
PSPS       | YOEYATS                   | 
PSPN       | NIYYLPY                   | 
PSPD       | ILUULRR                   | 
PSPR       | ANQQRYO                   | 
PSPU       | YMYQPYD                   | 
PSPI       | ACNERSS                   | 
PSPT       | RQIYPYQ                   | 
PSPC       | NDPNOSL                   | 
PSPP       | EEYLPNS                   | 
PSPM       | YDYDMOE                   | 
PSPY       | YRYCQSY                   | 
PSPQ       | NIUQECM                   | 
PSME       | MLEUOSE                   | 
PSMA       | MLPRRYY                   | 
PSMO       | MRTERAT                   | 
PSML       | MDTEMIP                   | 
PSMS       | SCLINDL                   | 
PSMN       | OPNPTPI                   | 
PSMD       | ANONLQO                   | 
PSMR       | MUOOOPI                   | 
PSMU       | MUIYAIQ                   | 
PSMI       | MQRPPIY                   | 
PSMT       | MURTDLI                   | 
PSMC       | LTALLTM                   | 
PSMP       | DUNQTAE                   | 
PSMM       | MATRLLL                   | 
PSMY       | AELSRER                   | 
PSMQ       | NDLNTOP                   | 
PSYE       | OCMPEDS                   | 
PSYA       | DIULLPM                   | 
PSYO       | ARQDYMP                   | 
PSYL       | NOPQNOE                   | 
PSYS       | NMNSTNM                   | 
PSYN       | LAIPPPQ                   | 
PSYD       | AQMAORT                   | 
PSYR       | SQDTSYT                   | 
PSYU       | ALLLAIL                   | 
PSYI       | PQRMQPE                   | 
PSYT       | PTTRNDS                   | 
PSYC       | YEUDYRA                   | 
PSYP       | YPLTYQI                   | 
PSYM       | MADLSSA                   | 
PSYY       | QYDYUMN                   | 
PSYQ       | NUPICIY                   | 
PSQE       | AICUCUP                   | 
PSQA       | DCOMYST                   | 
PSQO       | QSPLSEE                   | 
PSQL       | CLQOTQS                   | 
PSQS       | RNTCIET                   | 
PSQN       | ANNRPQD                   | 
PSQD       | LIYICPS                   | 
PSQR       | QMOUPUL                   | 
PSQU       | LMRQYPP                   | 
PSQI       | ETOOYRP                   | 
PSQT       | LSNALNM                   | 
PSQC       | DPDCASL                   | 
PSQP       | RAYILLA                   | 
PSQM       | YOLMNLU                   | 
PSQY       | YYPYIED                   | 
PSQQ       | QLEQIDN                   | 
PNEE       | LSOASIT                   | 
PNEA       | YACNYIE                   | 
PNEO       | YNUPAAI                   | 
PNEL       | MIPECDY                   | 
PNES       | UTPPYCI                   | 
PNEN       | DENENEO                   | 
PNED       | ELPSNDS                   | 
PNER       | SQIOUMP                   | 
PNEU       | UOPIIYE                   | 
PNEI       | LNTUOUE                   | 
PNET       | POOYDLU                   | 
PNEC       | CTNPDRS                   | 
PNEP       | SNRORTR                   | 
PNEM       | PPQYOCP                   | 
PNEY       | TQRNOMU                   | 
PNEQ       | YQINSMO                   | 
PNAE       | QNNRLAA                   | 
PNAA       | EDRUTIS                   | 
PNAO       | ECOPUQD                   | 
PNAL       | RRRONRO                   | 
PNAS       | PDUTCUO                   | 
PNAN       | DMYOTPM                   | 
PNAD       | PNUMULY                   | 
PNAR       | ATEMLPO                   | 
PNAU       | UNDPYTY                   | 
PNAI       | YAOCPCQ                   | 
PNAT       | PSDISSM                   | 
PNAC       | ROIAALN                   | 
PNAP       | TEOMNQS                   | 
PNAM       | EMCSLPR                   | 
PNAY       | CTYRCDE                   | 
PNAQ       | NDENDPN                   | 
PNOE       | YAASPOY                   | 
PNOA       | QTRONSU                   | 
PNOO       | AAYCUMP                   | 
PNOL       | CSYTTIC                   | 
PNOS       | LMOYMTN                   | 
PNON       | PQNSACM                   | 
PNOD       | UCPMYQC                   | 
PNOR       | DSTACTE                   | 
PNOU       | SUDUYSN                   | 
PNOI       | UPRMOSY                   | 
PNOT       | AISMPQE                   | 
PNOC       | ITTCISL                   | 
PNOP       | RNMROEE                   | 
PNOM       | UOQRQET                   | 
PNOY       | SQOQSAE                   | 
PNOQ       | DLUUPOQ                   | 
PNLE       | LESERRL                   | 
PNLA       | SOENUAP                   | 
PNLO       | CMMNMTN                   | 
PNLL       | DSLCEEU                   | 
PNLS       | LACODYT                   | 
PNLN       | TNOLLAS                   | 
PNLD       | QSNASQE                   | 
PNLR       | TQONOTU                   | 
PNLU       | QCPURUC                   | 
PNLI       | RCTIDEM                   | 
PNLT       | INUSSTU                   | 
PNLC       | CCDRETQ                   | 
PNLP       | CODNMMY                   | 
PNLM       | NICQDLN                   | 
PNLY       | CRDOMIM                   | 
PNLQ       | LOQULED                   | 
PNSE       | EECDURA                   | 
PNSA       | YNTSNTP                   | 
PNSO       | ORICROT                   | 
PNSL       | IMEESUI                   | 
PNSS       | PNLUTEY                   | 
PNSN       | UNDLILO                   | 
PNSD       | NRYLMCY                   | 
PNSR       | RNITONC                   | 
PNSU       | STQIMDO                   | 
PNSI       | CNQOLYL                   | 
PNST       | SQYMLLQ                   | 
PNSC       | UNMUOTD                   | 
PNSP       | OLEDDIU                   | 
PNSM       | PCTSUST                   | 
PNSY       | CONTARE                   | 
PNSQ       | DTOPOOL                   | 
PNNE       | QLNPIRE                   | 
PNNA       | QTLCYDY                   | 
PNNO       | IOPRUEU                   | 
PNNL       | TEUQRSE                   | 
PNNS       | RDUYDNC                   | 
PNNN       | TQDUUNM                   | 
PNND       | LTQOYAU                   | 
PNNR       | SMQUOIM                   | 
PNNU       | LPLNTLR                   | 
PNNI       | TNINSEY                   | 
PNNT       | OOOSUTT                   | 
PNNC       | TTOQTCY                   | 
PNNP       | YNSOSEY                   | 
PNNM       | LNCAUOT                   | 
PNNY       | RNRONED                   | 
PNNQ       | TTOICCT                   | 
PNDE       | IEPYTRI                   | 
PNDA       | MEPEAOY                   | 
PNDO       | SNTLRDP                   | 
PNDL       | TUUQUNO                   | 
PNDS       | DQCUEMI                   | 
PNDN       | IONOTLR                   | 
PNDD       | IOOMAAU                   | 
PNDR       | LLPOYOY                   | 
PNDU       | LLYQYOQ                   | 
PNDI       | DENPDUN                   | 
PNDT       | SLISPTQ                   | 
PNDC       | ALPCYCC                   | 
PNDP       | CQDSROQ                   | 
PNDM       | SNLSRCY                   | 
PNDY       | QUURDEM                   | 
PNDQ       | YNIIEEC                   | 
PNRE       | OCQQAUE                   | 
PNRA       | EONITEE                   | 
PNRO       | QSEORLO                   | 
PNRL       | UNDERAQ                   | 
PNRS       | LSTCPLD                   | 
PNRN       | NPYUEQC                   | 
PNRD       | MEDMSPM                   | 
PNRR       | MNSCCCU                   | 
PNRU       | LMMARTR                   | 
PNRI       | DPITMIT                   | 
PNRT       | AARPOCC                   | 
PNRC       | EYETYEU                   | 
PNRP       | NPUIQSU                   | 
PNRM       | TEDPTCO                   | 
PNRY       | RUTYDTS                   | 
PNRQ       | SODLTCQ                   | 
PNUE       | OTEARRP                   | 
PNUA       | RCTLCLY                   | 
PNUO       | ANPQQEL                   | 
PNUL       | IYRCPET                   | 
PNUS       | MPDLIQP                   | 
PNUN       | MUQSPLI                   | 
PNUD       | TCALMYU                   | 
PNUR       | PROQSQO                   | 
PNUU       | DINADQL                   | 
PNUI       | AERUIDU                   | 
PNUT       | DNQURSI                   | 
PNUC       | SPQRPUA                   | 
PNUP       | IDNMEEN                   | 
PNUM       | QQSOEEA                   | 
PNUY       | RUQDCCE                   | 
PNUQ       | UNEDEON                   | 
PNIE       | UEIYMDY                   | 
PNIA       | UNTMYTE                   | 
PNIO       | YDQMMPS                   | 
PNIL       | UUERCIT                   | 
PNIS       | LUICNTT                   | 
PNIN       | LSTNUPD                   | 
PNID       | MNPMEDR                   | 
PNIR       | LIANMEA                   | 
PNIU       | YNCOIMD                   | 
PNII       | RSQAPML                   | 
PNIT       | TSCQPMP                   | 
PNIC       | LDNCEUO                   | 
PNIP       | LUOIUQU                   | 
PNIM       | LMUAPIO                   | 
PNIY       | LNREDMM                   | 
PNIQ       | EQUOPPM                   | 
PNTE       | MPNUNDS                   | 
PNTA       | ITUENOP                   | 
PNTO       | IOMRTMC                   | 
PNTL       | NNANICI                   | 
PNTS       | TNINICP                   | 
PNTN       | USYTLIC                   | 
PNTD       | CIPDOSO                   | 
PNTR       | OMDPSLQ                   | 
PNTU       | ENLLAYA                   | 
PNTI       | NNLDYOU                   | 
PNTT       | DMYMMYT                   | 
PNTC       | MLMMSEQ                   | 
PNTP       | YELCCSR                   | 
PNTM       | RNPECOO                   | 
PNTY       | IYNSESM                   | 
PNTQ       | IPLRDAP                   | 
PNCE       | RNRNPOC                   | 
PNCA       | UODMOLE                   | 
PNCO       | MNLCNTT                   | 
PNCL       | YNCSDPR                   | 
PNCS       | UNAPEDU                   | 
PNCN       | QISTTOS                   | 
PNCD       | ASQNPUO                   | 
PNCR       | PNQSSAL                   | 
PNCU       | DNDNLIR                   | 
PNCI       | MUYPSEI                   | 
PNCT       | IEAREQM                   | 
PNCC       | LDYULPN                   | 
PNCP       | MECCCIE                   | 
PNCM       | LMDARDS                   | 
PNCY       | MPRSRES                   | 
PNCQ       | MOQRPDR                   | 
PNPE       | IODAYLM                   | 
PNPA       | YNLCLLD                   | 
PNPO       | YNCSLUR                   | 
PNPL       | UCYILML                   | 
PNPS       | YIITEIT                   | 
PNPN       | YNMQSRS                   | 
PNPD       | PNIUUAE                   | 
PNPR       | YNLPSTE                   | 
PNPU       | MDTTDIT                   | 
PNPI       | YIAMIDT                   | 
PNPT       | CEDIUSR                   | 
PNPC       | YSMMYEY                   | 
PNPP       | YSQMMTD                   | 
PNPM       | LPPNMYR                   | 
PNPY       | QNEAUMS                   | 
PNPQ       | UUMNUUQ                   | 
PNME       | CNLCNTT                   | 
PNMA       | CNCSIPR                   | 
PNMO       | YPMIDDU                   | 
PNML       | OQIQUAO                   | 
PNMS       | YURPDTQ                   | 
PNMN       | PESPLRR                   | 
PNMD       | NNANQIQ                   | 
PNMR       | ETILNPL                   | 
PNMU       | TQOMLQS                   | 
PNMI       | RTLCYYN                   | 
PNMT       | POPMDCC                   | 
PNMC       | LTOPQML                   | 
PNMP       | IEDMNEQ                   | 
PNMM       | TEQPEDU                   | 
PNMY       | PESOPII                   | 
PNMQ       | EOCUCLN                   | 
PNYE       | LLIIYPP                   | 
PNYA       | CRDYTON                   | 
PNYO       | NTLNEPY                   | 
PNYL       | ONDQDSD                   | 
PNYS       | PNIUAPQ                   | 
PNYN       | LTULMDD                   | 
PNYD       | QAAICYM                   | 
PNYR       | LLRNMIO                   | 
PNYU       | LNDDDEL                   | 
PNYI       | LCIRYCS                   | 
PNYT       | CAMNPIR                   | 
PNYC       | DNUUDLR                   | 
PNYP       | YLLOTED                   | 
PNYM       | IISRYUP                   | 
PNYY       | CUDLLTC                   | 
PNYQ       | LPQCYRO                   | 
PNQE       | UCTRSNQ                   | 
PNQA       | NIQPQDS                   | 
PNQO       | CPRYDAI                   | 
PNQL       | ONDIMTQ                   | 
PNQS       | LENIINP                   | 
PNQN       | CIDNMET                   | 
PNQD       | MEDSURU                   | 
PNQR       | MELLOTC                   | 
PNQU       | MCULTOM                   | 
PNQI       | AQIMLNC                   | 
PNQT       | CODCDAY                   | 
PNQC       | AUNAEIU                   | 
PNQP       | SCTANLR                   | 
PNQM       | CMUEELE                   | 
PNQY       | DNLCNTT                   | 
PNQQ       | INCSIPR                   | 
PDEE       | QMDPDCS                   | 
PDEA       | LRNTYYU                   | 
PDEO       | SNCAAOM                   | 
PDEL       | LSNCCDQ                   | 
PDES       | OAQNETT                   | 
PDEN       | ILEPELN                   | 
PDED       | PMUDARE                   | 
PDER       | MMRUELC                   | 
PDEU       | QDOIENP                   | 
PDEI       | DNPPYNE                   | 
PDET       | DTDROSM                   | 
PDEC       | CUECPTL                   | 
PDEP       | SUNPQQL                   | 
PDEM       | LCIRRNM                   | 
PDEY       | PELDMYU                   | 
PDEQ       | RPLMEMP                   | 
PDAE       | TUMELTP                   | 
PDAA       | CDCQYCC                   | 
PDAO       | CECNLPE                   | 
PDAL       | LNOCITA                   | 
PDAS       | DISPDQP                   | 
PDAN       | OPEUQQN                   | 
PDAD       | TYDTISO                   | 
PDAR       | NYAASEE                   | 
PDAU       | MNLYMLR                   | 
PDAI       | NOIDYRE                   | 
PDAT       | OMTUQEM                   | 
PDAC       | PNTPSSC                   | 
PDAP       | QTTCSPD                   | 
PDAM       | YIQOCUP                   | 
PDAY       | QENSQOM                   | 
PDAQ       | DSUYTUP                   | 
PDOE       | SNMTINI                   | 
PDOA       | DYAINQD                   | 
PDOO       | EDILTCQ                   | 
PDOL       | YYAOLQP                   | 
PDOS       | OUIIDOY                   | 
PDON       | ASUSLLA                   | 
PDOD       | MAPLSSC                   | 
PDOR       | NTLSYMP                   | 
PDOU       | NTLOPQI                   | 
PDOI       | QNYTPNY                   | 
PDOT       | MRCCUDN                   | 
PDOC       | QMCLQET                   | 
PDOP       | OISORMS                   | 
PDOM       | QYCOTLC                   | 
PDOY       | SLSSPTQ                   | 
PDOQ       | PLCUPTC                   | 
PDLE       | ODTMNAY                   | 
PDLA       | INPIQOT                   | 
PDLO       | QIDLQIM                   | 
PDLL       | ADYPYRA                   | 
PDLS       | CCLUSAN                   | 
PDLN       | QQEULLI                   | 
PDLD       | LNLTIDN                   | 
PDLR       | LUINEPP                   | 
PDLU       | DSCSILC                   | 
PDLI       | QICCCOM                   | 
PDLT       | SNQSAYQ                   | 
PDLC       | PIQPPIE                   | 
PDLP       | PACONOU                   | 
PDLM       | ICQMNDS                   | 
PDLY       | YNPPCEI                   | 
PDLQ       | QDNIYUO                   | 
PDSE       | NNPLAQY                   | 
PDSA       | QTIULAS                   | 
PDSO       | EQALMTI                   | 
PDSL       | STSYEIC                   | 
PDSS       | CURPNDR                   | 
PDSN       | YQCLCPO                   | 
PDSD       | RELPLAY                   | 
PDSR       | SMOYYUS                   | 
PDSU       | UYIOTDI                   | 
PDSI       | LCSQLYC                   | 
PDST       | LOQMDAU                   | 
PDSC       | NCDNAMI                   | 
PDSP       | RISUYNU                   | 
PDSM       | RRNSYEL                   | 
PDSY       | QTERYLO                   | 
PDSQ       | NYMOIYA                   | 
PDNE       | CRLCPRM                   | 
PDNA       | MQULDUE                   | 
PDNO       | QPSPILD                   | 
PDNL       | QMLEPDQ                   | 
PDNS       | EEPNQPM                   | 
PDNN       | APLAASP                   | 
PDND       | ATPMIYL                   | 
PDNR       | UMTCCAT                   | 
PDNU       | RMAPUDA                   | 
PDNI       | CRUEAQL                   | 
PDNT       | NIMQNEM                   | 
PDNC       | DIAAASD                   | 
PDNP       | QUANMIN                   | 
PDNM       | AEMUDQP                   | 
PDNY       | MPYRESR                   | 
PDNQ       | SYLNLNE                   | 
PDDE       | PTMTTST                   | 
PDDA       | SUNSEPM                   | 
PDDO       | LQCNREN                   | 
PDDL       | CEDMTDM                   | 
PDDS       | CODYUNE                   | 
PDDN       | TELLILQ                   | 
PDDD       | YUNSMQT                   | 
PDDR       | ATUUQRA                   | 
PDDU       | NQICSAI                   | 
PDDI       | NMSPOCP                   | 
PDDT       | MEMTMIQ                   | 
PDDC       | YORPCAM                   | 
PDDP       | ACAITAL                   | 
PDDM       | PYNENYT                   | 
PDDY       | AAUPYCC                   | 
PDDQ       | MCCACRL                   | 
PDRE       | ONLTTRU                   | 
PDRA       | LQQEIPT                   | 
PDRO       | TOLCDYA                   | 
PDRL       | PCIUTOS                   | 
PDRS       | MNEYQPC                   | 
PDRN       | NDALCEL                   | 
PDRD       | DNPPCER                   | 
PDRR       | ANQPQIR                   | 
PDRU       | ANQCMUM                   | 
PDRI       | MNRENRY                   | 
PDRT       | SLSQRPE                   | 
PDRC       | LYTSRSL                   | 
PDRP       | AULIITP                   | 
PDRM       | TYRDMSI                   | 
PDRY       | IRSMSCO                   | 
PDRQ       | CLAROSA                   | 
PDUE       | PLSDPRT                   | 
PDUA       | ICULYDE                   | 
PDUO       | DPSMINM                   | 
PDUL       | TRYUDEY                   | 
PDUS       | ISTTNQD                   | 
PDUN       | QEETNAQ                   | 
PDUD       | PMMILEP                   | 
PDUR       | NYDTDML                   | 
PDUU       | MPSPDUQ                   | 
PDUI       | MLLPNMI                   | 
PDUT       | DTPTLST                   | 
PDUC       | PMTREPR                   | 
PDUP       | IARILEI                   | 
PDUM       | DANCNCO                   | 
PDUY       | OSTRNIM                   | 
PDUQ       | IODLLCE                   | 
PDIE       | QSRMCQQ                   | 
PDIA       | LMDADEA                   | 
PDIO       | YSMLSQA                   | 
PDIL       | QICSCMO                   | 
PDIS       | DALQMIQ                   | 
PDIN       | NLOSCPU                   | 
PDID       | CALYYNI                   | 
PDIR       | MOATQMM                   | 
PDIU       | YNTLCEO                   | 
PDII       | CPLRQRN                   | 
PDIT       | PURYEAL                   | 
PDIC       | YARAPLT                   | 
PDIP       | UMMQMDP                   | 
PDIM       | OSDCMSP                   | 
PDIY       | MNLOLDM                   | 
PDIQ       | RNAQQAT                   | 
PDTE       | AYPUMLC                   | 
PDTA       | PENCAAO                   | 
PDTO       | OCUMEDI                   | 
PDTL       | OIOLDMQ                   | 
PDTS       | QMOMRAI                   | 
PDTN       | RYICSSL                   | 
PDTD       | RDQYQDY                   | 
PDTR       | SNODNMT                   | 
PDTU       | ELATMNU                   | 
PDTI       | OMYDLYP                   | 
PDTT       | SRECNSL                   | 
PDTC       | QYSUQDD                   | 
PDTP       | OYOEEDC                   | 
PDTM       | DQCMNMQ                   | 
PDTY       | QMDIUDY                   | 
PDTQ       | AMMNMQU                   | 
PDCE       | UUYQIRL                   | 
PDCA       | RPEYCLD                   | 
PDCO       | ORRMYEU                   | 
PDCL       | MMEIOLD                   | 
PDCS       | PEENPOE                   | 
PDCN       | NEEETYA                   | 
PDCD       | DNITITS                   | 
PDCR       | RCLRTDA                   | 
PDCU       | EQCLTCE                   | 
PDCI       | RCMEIDD                   | 
PDCT       | AUILCNN                   | 
PDCC       | OSUEDOS                   | 
PDCP       | MTTDECS                   | 
PDCM       | QNOPNIU                   | 
PDCY       | OATQADI                   | 
PDCQ       | DTYDCMC                   | 
PDPE       | TNENTLP                   | 
PDPA       | AELYYER                   | 
PDPO       | ONROUNA                   | 
PDPL       | NROTLAC                   | 
PDPS       | MLNTSSM                   | 
PDPN       | YNELTOO                   | 
PDPD       | PYSIQAS                   | 
PDPR       | ATAMMIE                   | 
PDPU       | RCCMPCU                   | 
PDPI       | SYOTUPY                   | 
PDPT       | CMNLTPP                   | 
PDPC       | INQRTQA                   | 
PDPP       | SPCIYTQ                   | 
PDPM       | YRLTOUA                   | 
PDPY       | TNACIAD                   | 
PDPQ       | UUAMDYE                   | 
PDME       | ATNREPQ                   | 
PDMA       | LTSYSTC                   | 
PDMO       | RENPQNE                   | 
PDML       | MQESUYM                   | 
PDMS       | LNAEEOI                   | 
PDMN       | EQQRAAO                   | 
PDMD       | TYRQNDR                   | 
PDMR       | IPIYETP                   | 
PDMU       | MELLICI                   | 
PDMI       | OSQOTIQ                   | 
PDMT       | UUSPRDM                   | 
PDMC       | QPTIASE                   | 
PDMP       | CIUDQST                   | 
PDMM       | UUQNIRY                   | 
PDMY       | PMYQOPU                   | 
PDMQ       | PLOLDMQ                   | 
PDYE       | AYSUIYA                   | 
PDYA       | YUSEREL                   | 
PDYO       | QCAPPDU                   | 
PDYL       | NDIUELN                   | 
PDYS       | ONNQDDS                   | 
PDYN       | RUSLINO                   | 
PDYD       | LMNMUTR                   | 
PDYR       | PCLAMPN                   | 
PDYU       | YULPNOR                   | 
PDYI       | AOTSETN                   | 
PDYT       | CAOSLYQ                   | 
PDYC       | ATELPLL                   | 
PDYP       | OCUMANL                   | 
PDYM       | EOOESDC                   | 
PDYY       | CNQRISA                   | 
PDYQ       | NIICUUP                   | 
PDQE       | CCUMYUC                   | 
PDQA       | EISSCQR                   | 
PDQO       | TATPDOP                   | 
PDQL       | UUDQROP                   | 
PDQS       | PCEDSII                   | 
PDQN       | QRRDDAL                   | 
PDQD       | ULOIRLY                   | 
PDQR       | OYDOCIL                   | 
PDQU       | OTYPECM                   | 
PDQI       | ATEMUCU                   | 
PDQT       | CCCSUUD                   | 
PDQC       | TTEOUDC                   | 
PDQP       | DEITOPQ                   | 
PDQM       | ALSOAQQ                   | 
PDQY       | PCSNTPD                   | 
PDQQ       | DDAIOMS                   | 
PREE       | ARUQQCE                   | 
PREA       | NAMYERN                   | 
PREO       | PIICCYR                   | 
PREL       | YOTLUDQ                   | 
PRES       | TRQERSL                   | 
PREN       | IUSRMYP                   | 
PRED       | NAMQERQ                   | 
PRER       | PCSSCLL                   | 
PREU       | YPRPSOU                   | 
PREI       | IILLIYE                   | 
PRET       | QUULDYT                   | 
PREC       | DISICOP                   | 
PREP       | PEQEDNI                   | 
PREM       | DPQNDRS                   | 
PREY       | UCLQNMO                   | 
PREQ       | NATEQRE                   | 
PRAE       | QYMYUMA                   | 
PRAA       | ETPMQMS                   | 
PRAO       | DRTYUOA                   | 
PRAL       | INORRPT                   | 
PRAS       | OREYMUY                   | 
PRAN       | NLPDMMM                   | 
PRAD       | PTPCELR                   | 
PRAR       | INORALR                   | 
PRAU       | TCPEIEM                   | 
PRAI       | ORYETUI                   | 
PRAT       | YNQYLLU                   | 
PRAC       | QQNULLE                   | 
PRAP       | ITDNLCA                   | 
PRAM       | LINCCQY                   | 
PRAY       | CMDPDQE                   | 
PRAQ       | LRSSRSN                   | 
PROE       | QTMMACO                   | 
PROA       | DDLQELC                   | 
PROO       | MOPMITC                   | 
PROL       | CCLYIAM                   | 
PROS       | NIAESNU                   | 
PRON       | RYAINAU                   | 
PROD       | IMQCRUO                   | 
PROR       | AUUYIMU                   | 
PROU       | SETEIDR                   | 
PROI       | SOCQSEE                   | 
PROT       | RELQUYO                   | 
PROC       | TNTDIST                   | 
PROP       | DDLOQAU                   | 
PROM       | CMAMYCR                   | 
PROY       | TTLMIYP                   | 
PROQ       | OSCCMRI                   | 
PRLE       | QSSULCY                   | 
PRLA       | SLCURCC                   | 
PRLO       | QQSEAPC                   | 
PRLL       | ULLELEE                   | 
PRLS       | PQUENTR                   | 
PRLN       | SPERNAT                   | 
PRLD       | TYNANNE                   | 
PRLR       | IUPIPCT                   | 
PRLU       | INNPEAE                   | 
PRLI       | QIMOASE                   | 
PRLT       | QAOTOOU                   | 
PRLC       | NNNAAMD                   | 
PRLP       | RPLOIUU                   | 
PRLM       | LQUEPNM                   | 
PRLY       | RDUELEN                   | 
PRLQ       | YPPELNA                   | 
PRSE       | CPYUCCO                   | 
PRSA       | YPUMAMY                   | 
PRSO       | PPCCTOE                   | 
PRSL       | LRADTSE                   | 
PRSS       | SCEAEYC                   | 
PRSN       | OSILONP                   | 
PRSD       | EDOMLPD                   | 
PRSR       | YYSYPEA                   | 
PRSU       | LUPYLPI                   | 
PRSI       | OTTIEPC                   | 
PRST       | NRMQCLL                   | 
PRSC       | AYIENUC                   | 
PRSP       | OLRPLON                   | 
PRSM       | LEYOMER                   | 
PRSY       | MNYPIMT                   | 
PRSQ       | SUILLAY                   | 
PRNE       | TITQAMI                   | 
PRNA       | NTOYAOE                   | 
PRNO       | PRRMSOT                   | 
PRNL       | ENPEPIM                   | 
PRNS       | PTPTAOY                   | 
PRNN       | OOQAQTE                   | 
PRND       | NQMDEOL                   | 
PRNR       | TLNOQYQ                   | 
PRNU       | YEYIQTQ                   | 
PRNI       | IALLQNC                   | 
PRNT       | NALEMNU                   | 
PRNC       | SMQRSEO                   | 
PRNP       | PMROSET                   | 
PRNM       | EUPMTLS                   | 
PRNY       | QMTQESA                   | 
PRNQ       | MLPSISL                   | 
PRDE       | ANDYYIE                   | 
PRDA       | ANCAMSA                   | 
PRDO       | RNTUEIO                   | 
PRDL       | OCLIUNC                   | 
PRDS       | ENPPSSE                   | 
PRDN       | YNNUDUD                   | 
PRDD       | NYTCIYQ                   | 
PRDR       | UNOIQCD                   | 
PRDU       | RNPNPME                   | 
PRDI       | ANDMIED                   | 
PRDT       | DCECDNC                   | 
PRDC       | CLEAYDE                   | 
PRDP       | ONOSUUY                   | 
PRDM       | INUNPYS                   | 
PRDY       | YMNANMA                   | 
PRDQ       | IMTICPR                   | 
PRRE       | LNIQTYT                   | 
PRRA       | EIUADDE                   | 
PRRO       | DTQRTMC                   | 
PRRL       | TLCMRYA                   | 
PRRS       | YYRICNL                   | 
PRRN       | SLPRION                   | 
PRRD       | LQDYEOD                   | 
PRRR       | TPTCTIR                   | 
PRRU       | CNISDEM                   | 
PRRI       | TSTQMQS                   | 
PRRT       | DPDSUND                   | 
PRRC       | UPPQTPP                   | 
PRRP       | QEMPRIP                   | 
PRRM       | YMEDLRL                   | 
PRRY       | AUTRDMO                   | 
PRRQ       | NELICNL                   | 
PRUE       | SOADPTM                   | 
PRUA       | YTDSQUQ                   | 
PRUO       | YAIYPTM                   | 
PRUL       | ATEOMSN                   | 
PRUS       | AUYCQOT                   | 
PRUN       | TTROMAP                   | 
PRUD       | IMCMTPA                   | 
PRUR       | NOUOIMO                   | 
PRUU       | CTPUDOA                   | 
PRUI       | OOATADM                   | 
PRUT       | LNIAAAN                   | 
PRUC       | LTASTUO                   | 
PRUP       | UNYOALC                   | 
PRUM       | ETQIPOD                   | 
PRUY       | NUMRQNY                   | 
PRUQ       | IAOMITA                   | 
PRIE       | OUPTPLP                   | 
PRIA       | DMNDPEO                   | 
PRIO       | AASEMAE                   | 
PRIL       | SNNEMQP                   | 
PRIS       | AQTYONI                   | 
PRIN       | IPUECOP                   | 
PRID       | PSAACUL                   | 
PRIR       | TPAQDIP                   | 
PRIU       | YNYNRMM                   | 
PRII       | ESAEIRU                   | 
PRIT       | TTCTCOR                   | 
PRIC       | MQPNQNI                   | 
PRIP       | YNADSCQ                   | 
PRIM       | NNELQSC                   | 
PRIY       | EASPUON                   | 
PRIQ       | NPCNNPE                   | 
PRTE       | SNERYNY                   | 
PRTA       | MLTERMI                   | 
PRTO       | LMSNMEY                   | 
PRTL       | SUYQPTA                   | 
PRTS       | IPTQTYD                   | 
PRTN       | EQDENRI                   | 
PRTD       | TNCQTYA                   | 
PRTR       | MPNAPMA                   | 
PRTU       | TMUQDTY                   | 
PRTI       | OEPLPTI                   | 
PRTT       | IENDITL                   | 
PRTC       | DLLAUPT                   | 
PRTP       | TONTTRE                   | 
PRTM       | SLUNDIE                   | 
PRTY       | MUINOPP                   | 
PRTQ       | QISMASN                   | 
PRCE       | CDCUOIU                   | 
PRCA       | YUYMAQR                   | 
PRCO       | RLAQOQC                   | 
PRCL       | ITCPYYU                   | 
PRCS       | LUARDAQ                   | 
PRCN       | LOOUNQE                   | 
PRCD       | RCSMRAT                   | 
PRCR       | IYCNURC                   | 
PRCU       | ROLNAEO                   | 
PRCI       | EPTLLRE                   | 
PRCT       | RYEMDPS                   | 
PRCC       | NQDYDCP                   | 
PRCP       | MDUMYRR                   | 
PRCM       | LUYEOEU                   | 
PRCY       | IUQSINP                   | 
PRCQ       | YAOTQIO                   | 
PRPE       | SOYTSUE                   | 
PRPA       | TMIDSAY                   | 
PRPO       | ISIPDPC                   | 
PRPL       | YICUUCO                   | 
PRPS       | INPASIY                   | 
PRPN       | IPQCEDL                   | 
PRPD       | QUDAARY                   | 
PRPR       | DPTEQUD                   | 
PRPU       | PMDADPC                   | 
PRPI       | AUITOPM                   | 
PRPT       | ENCCLOL                   | 
PRPC       | SYQDAMT                   | 
PRPP       | PUACERI                   | 
PRPM       | DEQDONU                   | 
PRPY       | EDDYQIT                   | 
PRPQ       | MLCONMN                   | 
